material_id,formula_pretty,composition,K_vrh,G_vrh
mp-867807,LiYTl2,Li1 Y1 Tl2,41.8,16.305
mp-1025455,LiNb2O,Li2 Nb4 O2,112.151,2.313
mp-29868,LiAuC2,Li1 Au1 C2,50.028,25.135
mp-862841,LiPm2Os,Li1 Pm2 Os1,74.575,31.331
mp-977440,LiTiPt2,Li1 Ti1 Pt2,148.971,47.643
mp-10182,LiZnP,Li1 Zn1 P1,63.12,51.137
mp-934,LiTl,Li1 Tl1,26.903,-2.521
mp-34993,LiAlO2,Li12 Al12 O24,153.169,123.673
mp-6179,KLiSO4,K2 Li2 S2 O8,36.141,20.883
mp-996961,LiAuO2,Li2 Au2 O4,56.84,17.227
mp-867287,LiInAu2,Li1 In1 Au2,76.048,20.793
mp-20698,LiCoAs,Li2 Co2 As2,48.848,30.049
mp-861733,LiTePd2,Li1 Te1 Pd2,94.385,19.117
mp-1029903,LiNbN2,Li4 Nb4 N8,110.992,59.002
mp-2724538,LiCuS,Li2 Cu2 S2,25.653,20.946
mp-862667,LiAc2Ge,Li1 Ac2 Ge1,38.715,20.637
mp-867810,LiYHg2,Li1 Y1 Hg2,52.184,12.474
mp-13474,LiErGe,Li3 Er3 Ge3,59.851,47.51
mp-30764,LiPt2,Li2 Pt4,135.254,64.55
mp-10189,LiTiTe2,Li1 Ti1 Te2,35.309,27.015
mp-865940,LiThAu2,Li1 Th1 Au2,83.821,9.884
mp-15791,LiErS2,Li1 Er1 S2,50.021,28.514
mp-989583,Rb2LiInCl6,Rb2 Li1 In1 Cl6,20.952,10.025
mp-754605,LiLuO2,Li2 Lu2 O4,114.047,69.919
mp-29754,SrLiN,Sr2 Li2 N2,54.044,28.446
mp-5840,LiScO2,Li2 Sc2 O4,118.79,81.291
mp-38280,LiTiO2,Li2 Ti2 O4,170.849,122.647
mp-7243,LiSnPd2,Li1 Sn1 Pd2,108.005,25.46
mp-30301,LiClO4,Li4 Cl4 O16,30.023,18.037
mp-5920,LiAlGe,Li1 Al1 Ge1,55.853,50.642
mp-982666,LiAl2Tc,Li1 Al2 Tc1,115.85,61.853
mp-865907,LiZn3,Li1 Zn3,56.751,2.197
mp-1002069,NaLiICl,Na1 Li1 I1 Cl1,20.106,11.883
mp-864630,LiMg2Hg,Li1 Mg2 Hg1,42.537,22.643
mp-989562,Cs2LiTlF6,Cs2 Li1 Tl1 F6,33.191,8.613
mp-22899,LiI,Li1 I1,19.889,12.473
mp-973191,LiTl3,Li1 Tl3,26.317,7.189
mp-6326,LiAlSiO4,Li12 Al12 Si12 O48,114.023,45.755
mp-1009006,LiCdAs,Li1 Cd1 As1,46.662,3.251
mp-862318,LiAl2Ni,Li1 Al2 Ni1,103.846,69.544
mp-961683,LiMgP,Li1 Mg1 P1,49.919,4.158
mp-38695,LiTbSe2,Li2 Tb2 Se4,46.042,29.91
mp-20363,LiGa2Pt,Li1 Ga2 Pt1,103.688,34.754
mp-4495,KLiTe,K2 Li2 Te2,19.903,11.932
mp-982975,LiBeO3,Li1 Be1 O3,112.446,16.251
mp-2426,LiAg,Li1 Ag1,41.392,18.419
mp-862588,LiDy2Tc,Li1 Dy2 Tc1,68.896,31.932
mp-754912,LiCuO2,Li1 Cu1 O2,109.67,25.035
mp-862312,LiBePd2,Li1 Be1 Pd2,124.471,56.945
mp-862658,LiCu3,Li1 Cu3,92.453,43.619
mp-644419,LiHS,Li4 H4 S4,21.647,6.659
mp-9575,LiBeSb,Li2 Be2 Sb2,56.099,47.692
mp-2475638,LiBe,Li2 Be2,34.988,27.752
mp-977542,LiTbTl2,Li1 Tb1 Tl2,42.072,17.115
mp-1001831,LiB,Li2 B2,125.064,22.505
mp-865231,LiScTl2,Li1 Sc1 Tl2,44.718,22.125
mp-865184,LiScPd2,Li1 Sc1 Pd2,91.829,-47.071
mp-30057,LiCN,Li4 C4 N4,23.889,8.104
mp-24149,LiCe2HO3,Li1 Ce2 H1 O3,123.514,67.366
mp-20310,LiInSe2,Li4 In4 Se8,29.929,13.618
mp-14476,LiRhO2,Li4 Rh4 O8,124.841,39.318
mp-862815,LiScAu2,Li1 Sc1 Au2,82.368,15.743
mp-976600,LiHf2Tc,Li1 Hf2 Tc1,127.886,38.137
mp-865710,LiSnAu2,Li1 Sn1 Au2,67.96,-6.937
mp-8874,LiSiBO4,Li1 Si1 B1 O4,94.759,73.016
mp-571454,LiAgC2,Li1 Ag1 C2,38.657,20.005
mp-961698,LiZnP,Li1 Zn1 P1,64.164,34.294
mp-962070,LiScSi,Li1 Sc1 Si1,48.827,-3.379
mp-861901,LiGaCu2,Li1 Ga1 Cu2,86.815,36.374
mp-866146,LiSm2Ir,Li1 Sm2 Ir1,74.686,30.036
mp-4913,LiGa2Rh,Li1 Ga2 Rh1,103.896,33.902
mp-862657,LiCuPd2,Li1 Cu1 Pd2,144.978,37.593
mp-764648,LiTiO2,Li2 Ti2 O4,140.834,93.619
mp-552588,LiNbO3,Li2 Nb2 O6,144.515,76.732
mp-861931,LiPt3,Li1 Pt3,182.434,85.615
mp-135,Li,Li1,13.87,3.745
mp-753946,LiCoS2,Li2 Co2 S4,76.01,47.947
mp-30648,LiMg2Ga,Li1 Mg2 Ga1,38.321,26.698
mp-976598,LiHf2Ir,Li1 Hf2 Ir1,142.948,57.973
mp-864804,LiTbHg2,Li1 Tb1 Hg2,52.714,4.747
mp-51,Li,Li1,13.874,3.618
mp-21894,LiSn4Ir,Li2 Sn8 Ir2,69.115,46.562
mp-567787,LiInAg2,Li1 In1 Ag2,60.474,20.019
mp-977583,LiNpIr2,Li1 Np1 Ir2,183.332,197.522
